Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
activehumans-mouth-tape-is-a-deep-sleep-functional-nasal-breathing-solution-for-next-day-energy-starter-pack-5-strips-s,"activehumans mouth tape is a deep sleep, functional nasal breathing solution for next day energy STARTER PACK  5 strips +s",,Abundance naturally,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,'628693009720,232,shopify,continue,manual,10.99,,TRUE,TRUE,'628693009720,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,7.7,active
activehumans-mouth-tape-is-a-deep-sleep-functional-nasal-breathing-solution-for-next-day-energy-40-mini-strips,"activehumans mouth tape is a deep sleep, functional nasal breathing solution for next day energy  40 mini strips",,Abundance naturally,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,'628693009713,230,shopify,continue,manual,30,,TRUE,TRUE,'628693009713,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,21,active
activehumans-mouth-tape-is-a-deep-sleep-functional-nasal-breathing-solution-for-next-day-energy-40-strips,"activehumans mouth tape is a deep sleep, functional nasal breathing solution for next day energy  40 strips",,Abundance naturally,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,'628693009706,230,shopify,continue,manual,30,,TRUE,TRUE,'628693009706,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,21,active
aor-cortisol-adapt-120caps,AOR  Cortisol Adapt 120caps,<p>AOR  Cortisol Adapt 120caps</p>,AOR,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,AOR04533,0,shopify,continue,manual,63.9,,TRUE,TRUE,'624917045338,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,48.05,active
6.25E+11,AOR   R-Lipoic Acid 180caps,<p>AOR   R-Lipoic Acid 180caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04508,3269,shopify,continue,manual,76.31,91.57,TRUE,TRUE,'624917045086,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,50.87,active
6.25E+11,AOR   Vitamin D3 2500IU 120 caps,<p>AOR   Vitamin D3 2500IU 120 caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04497,3269,shopify,continue,manual,36.45,43.74,TRUE,TRUE,'624917044973,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,24.3,active
6.25E+11,AOR   Magnesium Potassium Aspartates 240caps,<p>AOR   Magnesium Potassium Aspartates 240caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04496,3269,shopify,continue,manual,42.39,50.87,TRUE,TRUE,'624917044966,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,28.26,active
6.25E+11,AOR   Relax & Recharge 90caps,<p>AOR   Relax &amp; Recharge 90caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04363,3269,shopify,continue,manual,40.88,49.05,TRUE,TRUE,'624917043631,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,27.25,active
6.25E+11,AOR   Vitamin D3 100ml (Adult)*,<p>AOR   Vitamin D3 100ml (Adult)*</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04216,3269,shopify,continue,manual,48.59,58.3,TRUE,TRUE,'624917042160,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,32.39,active
6.25E+11,AOR   Vitamin D3 50ml (Child),<p>AOR   Vitamin D3 50ml (Child)</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04194,3269,shopify,continue,manual,38.54,46.24,TRUE,TRUE,'624917041941,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,25.69,active
6.25E+11,AOR   Vitamin D3 50ml (Adult)*,<p>AOR   Vitamin D3 50ml (Adult)*</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04193,3269,shopify,continue,manual,37.49,44.98,TRUE,TRUE,'624917041934,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,24.99,active
6.25E+11,AOR   SeMet 90caps,<p>AOR   SeMet 90caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04018,3269,shopify,continue,manual,29.28,35.14,TRUE,TRUE,'624917040180,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,19.52,active
6.25E+11,AOR   Probiotic-3 180caps,<p>AOR   Probiotic-3 180caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04520,3269,shopify,continue,manual,80.55,96.66,TRUE,TRUE,'624917045208,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,53.7,active
6.25E+11,AOR   P-5-P 120s,<p>AOR   P-5-P 120s</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04490,3269,shopify,continue,manual,42.39,50.87,TRUE,TRUE,'624917044904,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,28.26,active
6.25E+11,AOR   Menopause Relief 60 caps,<p>AOR   Menopause Relief 60 caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04474,3269,shopify,continue,manual,38.84,46.6,TRUE,TRUE,'624917044744,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,25.89,active
6.25E+11,AOR   Mag-K-Taurine 180caps,<p>AOR   Mag-K-Taurine 180caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04505,3269,shopify,continue,manual,44.09,52.9,TRUE,TRUE,'624917045055,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,29.39,active
6.25E+11,"AOR   Lysine, Vitamin C and Hyaluronic Acid 120caps","<p>AOR   Lysine, Vitamin C and Hyaluronic Acid 120caps</p>",AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04504,3269,shopify,continue,manual,57.65,69.17,TRUE,TRUE,'624917045048,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,38.43,active
6.25E+11,AOR   High Dose R-Lipoic Acid 60caps,<p>AOR   High Dose R-Lipoic Acid 60caps</p>,AOR,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,AOR04289,3269,shopify,continue,manual,55.23,66.28,TRUE,TRUE,'624917042894,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,36.82,active
8.70E+11,ATP   Total Radiance Collagen - Raspberry Lemonade   360g,<p>ATP   Total Radiance Collagen - Raspberry Lemonade   360g</p>,ATP,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,TRL00,3269,shopify,continue,manual,44.96,53.95,TRUE,TRUE,'870096000853,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,28.1,active
