Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
herbamare-spicy-unit_250-g,HERBAMARE SPICY (UNIT)_250 G,<p>HERBAMARE SPICY (UNIT)_250 G <br></p>,Bioforce Canada Inc.,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices",,,TRUE,Title,Default Title,,,,,,,,410-105-41,0,shopify,continue,manual,7.71,,TRUE,TRUE,'58854431259,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4.82,active
herbamare-sodium-free-unit_125-g,HERBAMARE SODIUM FREE (UNIT)_125 G,<p>HERBAMARE SODIUM FREE (UNIT)_125 G <br></p>,Bioforce Canada Inc.,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Salt",,,TRUE,Title,Default Title,,,,,,,,410-110-21,0,shopify,continue,manual,5.58,,TRUE,TRUE,'58854110215,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3.49,active
herbamare-spicy-unit_125-g,HERBAMARE SPICY (UNIT)_125 G,<p>HERBAMARE SPICY (UNIT)_125 G<br></p>,Bioforce Canada Inc.,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices > Herbs & Spices",,,TRUE,Title,Default Title,,,,,,,,410-105-21,0,shopify,continue,manual,4.46,,TRUE,TRUE,'58854105211,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.79,active
herbamare-original-unit-_125-g,HERBAMARE ORIGINAL (UNIT) _125 G,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""316"" style=""border-collapse: collapse; width: 237pt;"">
<colgroup>
<col width=""316"" style=""mso-width-source: userset; mso-width-alt: 11235; width: 237pt;""> </colgroup>
<tbody>
<tr height=""53"" style=""mso-height-source: userset; height: 39.6pt;"">
<td height=""53"" class=""xl67"" width=""316"" style=""height: 39.6pt; width: 237pt;"">HERBAMARE ORIGINAL (UNIT) _125 G</td>
</tr>
</tbody>
</table>",Bioforce Canada Inc.,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,410-100-21,0,shopify,continue,manual,4.46,,TRUE,TRUE,'58854100216,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2.79,active
natrum-salicylicum-250-tablets,NATRUM  SALICYLICUM    250 TABLETS,<p>TRILLIUM  PENDULU  60ML  30CH</p>,Homeocan Inc.,Uncategorized,,NewVersion-14,TRUE,Title,Default Title,,,,,,,,NATRUS,3629,shopify,deny,manual,15.83,17.69,TRUE,TRUE,'778159877063,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,9,active
aor-cortisol-adapt-120caps,AOR  Cortisol Adapt 120caps,<p>AOR  Cortisol Adapt 120caps</p>,AOR,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,AOR04533,0,shopify,continue,manual,63.9,,TRUE,TRUE,'624917045338,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,48.05,active
kidz-dermo-25-ml,"Kidz   Dermo	25 ml",<p>Kidz   Dermo    25 ml</p>,Distripharm,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,,,TRUE,Title,Default Title,,,,,,,,'665808110124,0,shopify,continue,manual,14.3,,TRUE,TRUE,'665808110124,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,8.94,active
botanica-perfect-greens-organic-superfruit-154g,Botanica   Perfect Greens - Organic Superfruit - 154g.,<p>Botanica   Perfect Greens - Organic Superfruit - 154g. </p>,TALLGRASS,"Food, Beverages & Tobacco > Beverages > Juices, Milkshakes & Smoothies",,,TRUE,Title,Default Title,,,,,,,,BT6319,0,shopify,continue,manual,35.69,,TRUE,TRUE,'822078963199,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,24.99,active
strong-like-a-woman™-creatine-d3-elecrolytes-355g,"""Strong Like a Woman™ Creatine + D3+ Elecrolytes""		355g","<p>""Strong Like a Woman™ Creatine + D3+ Elecrolytes""        355g</p>",Reboot,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,NW8354,0,shopify,continue,manual,38.25,,TRUE,TRUE,'628678988354,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,23.6,active
strong-like-a-woman™-creatine-d3-elecrolytes-389g,"""Strong Like a Woman™ Creatine + D3+ Elecrolytes""		389g","<p>""Strong Like a Woman™ Creatine +<br>D3+ Elecrolytes""        389g</p>",Reboot,Uncategorized,,,TRUE,Title,Default Title,,,,,,,,NW8347,0,shopify,continue,manual,38.25,,TRUE,TRUE,'628678988347,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,23.6,active
